# InputPower(W),100.000,InputVoltage(V),10.000,InputCurrent(A),10.000
Time,Power(W),Voltage(V),Current(A)
'2025-11-24 14:35:15,16759.914,48.186,347.817
'2025-11-24 14:35:16,16156.191,46.170,349.929
'2025-11-24 14:35:17,15189.366,43.509,349.106
'2025-11-24 14:35:18,13921.728,40.310,345.366
'2025-11-24 14:35:19,12433.209,36.700,338.782
'2025-11-24 14:35:20,10814.371,32.822,329.481
'2025-11-24 14:35:21,9158.574,28.833,317.647
'2025-11-24 14:35:22,7554.145,24.889,303.511
'2025-11-24 14:35:23,6077.326,21.150,287.350
